1921/8/1,25.9
1921/9/1,22
1921/10/1,16
1921/11/1,10.7
1921/12/1,6.4
1922/1/1,1.7
1922/2/1,7.7
1922/3/1,7.4
1922/4/1,13.6
1922/5/1,17.2
1922/6/1,22
1922/7/1,25.4
1922/8/1,27.9
1922/9/1,24.3
1922/10/1,17.6
1922/11/1,11.9
1922/12/1,5.1
1923/1/1,2.8
1923/2/1,3.5
1923/3/1,8.7
1923/4/1,12.5
1923/5/1,17.1
1923/6/1,20.7
1923/7/1,24.4
1923/8/1,27.5
1924/1/1,3.5
1924/2/1,4.9
1924/3/1,5.3
1924/4/1,14.4
1924/5/1,16.8
1924/6/1,19.3
1924/7/1,26
1924/8/1,25.8
1924/9/1,22
1924/10/1,15.5
1924/11/1,10.3
1924/12/1,5.7
1925/1/1,3.5
1925/2/1,2.8
1925/3/1,6.3
1925/4/1,11.8
1925/5/1,16
1925/6/1,20
1925/7/1,23.1
1925/8/1,25.5
1925/9/1,22.9
1925/10/1,16.3
1925/11/1,11.8
1925/12/1,7.5
1926/1/1,3.8
1926/2/1,4.6
1926/3/1,6.4
1926/4/1,11.6
1926/5/1,16.4
1926/6/1,18.9
1926/7/1,24.5
1926/8/1,26.4
1926/9/1,23.4
1926/10/1,15.1
1926/11/1,10.2
1926/12/1,4.9
1927/1/1,3.1
1927/2/1,2.2
1927/3/1,6.4
1927/4/1,13.3
1927/5/1,17.3
1927/6/1,20.2
1927/7/1,25.9
1927/8/1,26.4
1927/9/1,21.3
1927/10/1,16.7
1927/11/1,11.4
1927/12/1,6.3
1928/1/1,4.1
1928/2/1,3.4
1928/3/1,6.7
1928/4/1,12.3
1928/5/1,17.6
1928/6/1,19.8
1928/7/1,22.8
1928/8/1,23.5
1928/9/1,23.4
1928/10/1,16.5
1928/11/1,12
1928/12/1,5.9
1929/1/1,3.2
1929/2/1,3.3
1929/3/1,7.1
1929/4/1,12.4
1929/5/1,15.5
1929/6/1,20
1929/7/1,25.3
1929/8/1,26.4
1929/9/1,20.3
1929/10/1,16.4
1929/11/1,11.2
1929/12/1,8.9
1930/1/1,4
1930/2/1,5.2
1930/3/1,8.7
1930/4/1,13.6
1930/5/1,17.3
1930/6/1,20.9
1930/7/1,25.7
1930/8/1,26.2
1930/9/1,21.1
1930/10/1,16.6
1930/11/1,10.8
1930/12/1,5.7
1931/1/1,3.2
1931/2/1,2.5
1931/3/1,7.7
1931/4/1,12.1
1931/5/1,15.8
1931/6/1,19.9
1931/7/1,21.4
1931/8/1,25.8
1931/9/1,22.1
1931/10/1,16.2
1931/11/1,11.7
1931/12/1,7.5
1932/1/1,6.3
1932/2/1,4.3
1932/3/1,6.9
1932/4/1,11.9
1932/5/1,17.4
1932/6/1,19.3
1932/7/1,25
1932/8/1,25.8
1932/9/1,21.4
1932/10/1,16.2
1932/11/1,11.3
1932/12/1,6.5
1933/1/1,3.3
1933/2/1,3.6
1933/3/1,5.5
1933/4/1,12.1
1933/5/1,17.5
1933/6/1,21.3
1933/7/1,26
1933/8/1,26.8
1933/9/1,22.5
1933/10/1,16.7
1933/11/1,11.3
1933/12/1,6.7
1934/1/1,2.8
1934/2/1,3.9
